Armas_Medios;Departamento;Municipio;Fecha_Hecho;Genero;Edad_Persona;Codigo_Dane;Delitos;Mes;Cantidad
Sin Empleo De Armas;Cundinamarca;Funza;26/04/2025;Masculino;Adultos;25286000;Artículo 239. Hurto Personas;4;1
Arma De Fuego;Cundinamarca;Funza;3/05/2025;Masculino;Adultos;25286000;Artículo 239. Hurto Personas;5;1
Sin Empleo De Armas;Cundinamarca;Madrid;7/05/2025;Femenino;Adultos;25430000;Artículo 239. Hurto Personas;5;1
Arma De Fuego;Cundinamarca;Mosquera;6/05/2025;Femenino;Adultos;25473000;Artículo 239. Hurto Personas;5;1
Sin Empleo De Armas;Cundinamarca;Madrid;28/03/2025;Masculino;Adolescentes;25430000;Artículo 239. Hurto Personas;3;1
Arma Blanca / Cortopunzante;Cundinamarca;Madrid;26/04/2025;Masculino;Adultos;25430000;Artículo 239. Hurto Personas;4;1
Sin Empleo De Armas;Cundinamarca;Mosquera;26/04/2025;Femenino;Adultos;25473000;Artículo 239. Hurto Personas;4;1
Sin Empleo De Armas;Cundinamarca;Madrid;29/04/2025;Femenino;Adultos;25430000;Artículo 239. Hurto Personas;4;1
Sin Empleo De Armas;Cundinamarca;Mosquera;5/05/2025;Femenino;Adultos;25473000;Artículo 239. Hurto Personas;5;1
Sin Empleo De Armas;Cundinamarca;Funza;2/05/2025;Masculino;Adultos;25286000;Artículo 239. Hurto Personas;5;1
Sin Empleo De Armas;Cundinamarca;Funza;6/05/2025;Femenino;Adultos;25286000;Artículo 239. Hurto Personas;5;1
No Reportado;Cundinamarca;Mosquera;4/05/2025;Masculino;Adultos;25473000;Artículo 239. Hurto Personas;5;1
Arma De Fuego;Cundinamarca;Mosquera;6/05/2025;Femenino;Adultos;25473000;Artículo 239. Hurto Personas;5;1
Arma Blanca / Cortopunzante;Cundinamarca;Mosquera;6/05/2025;Femenino;Adultos;25473000;Artículo 239. Hurto Personas;5;1
Arma De Fuego;Cundinamarca;Madrid;2/05/2025;Masculino;Adultos;25430000;Artículo 239. Hurto Personas;5;1
Arma De Fuego;Cundinamarca;Mosquera;2/05/2025;Femenino;Adultos;25473000;Artículo 239. Hurto Personas;5;1
Arma Blanca / Cortopunzante;Cundinamarca;Funza;25/04/2025;Masculino;Adultos;25286000;Artículo 239. Hurto Personas;4;1
Sin Empleo De Armas;Cundinamarca;Mosquera;21/04/2025;Femenino;Adultos;25473000;Artículo 239. Hurto Personas;4;1
Sin Empleo De Armas;Cundinamarca;Madrid;8/04/2025;Masculino;Adultos;25430000;Artículo 239. Hurto Personas;4;1
Arma Blanca / Cortopunzante;Cundinamarca;Madrid;20/04/2025;Masculino;Adultos;25430000;Artículo 239. Hurto Personas;4;1
Arma De Fuego;Cundinamarca;Mosquera;27/04/2025;Masculino;Adultos;25473000;Artículo 239. Hurto Personas;4;1
Sin Empleo De Armas;Cundinamarca;Mosquera;2/05/2025;Masculino;Adultos;25473000;Artículo 239. Hurto Personas;5;1
Sin Empleo De Armas;Cundinamarca;Mosquera;3/05/2025;Femenino;Adultos;25473000;Artículo 239. Hurto Personas;5;1
Arma Blanca / Cortopunzante;Cundinamarca;Mosquera;4/05/2025;Masculino;Adultos;25473000;Artículo 239. Hurto Personas;5;1
Arma De Fuego;Cundinamarca;Funza;3/05/2025;Masculino;Adultos;25286000;Artículo 239. Hurto Personas;5;1
Arma Blanca / Cortopunzante;Cundinamarca;Funza;1/05/2025;Masculino;Adultos;25286000;Artículo 239. Hurto Personas;5;1
Arma Blanca / Cortopunzante;Cundinamarca;Mosquera;5/05/2025;Masculino;Adultos;25473000;Artículo 239. Hurto Personas;5;1
Sin Empleo De Armas;Cundinamarca;Madrid;25/04/2025;Masculino;Adolescentes;25430000;Artículo 239. Hurto Personas;4;1
Arma Blanca / Cortopunzante;Cundinamarca;Madrid;1/05/2025;Masculino;Adultos;25430000;Artículo 239. Hurto Personas;5;1
Sin Empleo De Armas;Cundinamarca;Mosquera;15/04/2025;Femenino;Adultos;25473000;Artículo 239. Hurto Personas;4;1
Arma Blanca / Cortopunzante;Cundinamarca;Mosquera;26/04/2025;Femenino;Adultos;25473000;Artículo 239. Hurto Personas;4;1
Sin Empleo De Armas;Cundinamarca;Madrid;22/04/2025;Masculino;Adultos;25430000;Artículo 239. Hurto Personas;4;1
Sin Empleo De Armas;Cundinamarca;Mosquera;1/05/2025;Femenino;Adultos;25473000;Artículo 239. Hurto Personas;5;1
Sin Empleo De Armas;Cundinamarca;Madrid;14/03/2025;Femenino;Adultos;25430000;Artículo 239. Hurto Personas;3;1
Sin Empleo De Armas;Cundinamarca;Madrid;25/04/2025;Femenino;Adultos;25430000;Artículo 239. Hurto Personas;4;1
Arma De Fuego;Cundinamarca;Funza;2/05/2025;Masculino;Adultos;25286000;Artículo 239. Hurto Personas;5;1
Sin Empleo De Armas;Cundinamarca;Madrid;15/04/2025;Masculino;Adultos;25430000;Artículo 239. Hurto Personas;4;1
Sin Empleo De Armas;Cundinamarca;Mosquera;16/04/2025;Femenino;Adultos;25473000;Artículo 239. Hurto Personas;4;1
Sin Empleo De Armas;Cundinamarca;Mosquera;5/05/2025;Masculino;Adultos;25473000;Artículo 239. Hurto Personas;5;1
Sin Empleo De Armas;Cundinamarca;Madrid;29/04/2025;Masculino;Adultos;25430000;Artículo 239. Hurto Personas;4;1
Arma Blanca / Cortopunzante;Cundinamarca;Madrid;5/05/2025;Masculino;Adultos;25430000;Artículo 239. Hurto Personas;5;1
Arma Blanca / Cortopunzante;Cundinamarca;Madrid;2/05/2025;Masculino;Adultos;25430000;Artículo 239. Hurto Personas;5;1
Arma Blanca / Cortopunzante;Cundinamarca;Funza;6/05/2025;Masculino;Adultos;25286000;Artículo 239. Hurto Personas;5;1
Sin Empleo De Armas;Cundinamarca;Funza;7/04/2025;Femenino;Adultos;25286000;Artículo 239. Hurto Personas;4;1
Sin Empleo De Armas;Cundinamarca;Mosquera;28/04/2025;Masculino;Adultos;25473000;Artículo 239. Hurto Personas;4;1
Contundentes;Cundinamarca;Mosquera;29/04/2025;Masculino;Adultos;25473000;Artículo 239. Hurto Personas;4;1
Sin Empleo De Armas;Cundinamarca;Funza;23/04/2025;Femenino;Adultos;25286000;Artículo 239. Hurto Personas;4;1
Sin Empleo De Armas;Cundinamarca;Mosquera;29/04/2025;Masculino;Adultos;25473000;Artículo 239. Hurto Personas;4;1
Arma Blanca / Cortopunzante;Cundinamarca;Madrid;29/04/2025;Femenino;Adultos;25430000;Artículo 239. Hurto Personas;4;1
Sin Empleo De Armas;Cundinamarca;Mosquera;29/04/2025;Femenino;Adultos;25473000;Artículo 239. Hurto Personas;4;1
Sin Empleo De Armas;Cundinamarca;Mosquera;29/04/2025;Femenino;Adultos;25473000;Artículo 239. Hurto Personas;4;1
Arma Blanca / Cortopunzante;Cundinamarca;Madrid;29/04/2025;Femenino;Adultos;25430000;Artículo 239. Hurto Personas;4;1
Arma Blanca / Cortopunzante;Cundinamarca;Mosquera;30/04/2025;Femenino;Adultos;25473000;Artículo 239. Hurto Personas;4;1
Sin Empleo De Armas;Cundinamarca;Mosquera;30/04/2025;Masculino;Adultos;25473000;Artículo 239. Hurto Personas;4;1
Sin Empleo De Armas;Cundinamarca;Mosquera;30/04/2025;Femenino;Adultos;25473000;Artículo 239. Hurto Personas;4;1
Sin Empleo De Armas;Cundinamarca;Mosquera;30/04/2025;Femenino;Adultos;25473000;Artículo 239. Hurto Personas;4;1
Sin Empleo De Armas;Cundinamarca;Mosquera;2/05/2025;Femenino;Adultos;25473000;Artículo 239. Hurto Personas;5;1
Sin Empleo De Armas;Cundinamarca;Mosquera;1/05/2025;Femenino;Adultos;25473000;Artículo 239. Hurto Personas;5;1
Sin Empleo De Armas;Cundinamarca;Funza;2/05/2025;Masculino;Adultos;25286000;Artículo 239. Hurto Personas;5;1
Sin Empleo De Armas;Cundinamarca;Mosquera;1/05/2025;Masculino;Adultos;25473000;Artículo 239. Hurto Personas;5;1
Arma Blanca / Cortopunzante;Cundinamarca;Madrid;2/05/2025;Femenino;Adultos;25430000;Artículo 239. Hurto Personas;5;1
Sin Empleo De Armas;Cundinamarca;Mosquera;1/05/2025;Femenino;Adultos;25473000;Artículo 239. Hurto Personas;5;1
Sin Empleo De Armas;Cundinamarca;Mosquera;25/04/2025;Masculino;Adultos;25473000;Artículo 239. Hurto Personas;4;1
Sin Empleo De Armas;Cundinamarca;Madrid;2/05/2025;Femenino;Adultos;25430000;Artículo 239. Hurto Personas;5;1
Sin Empleo De Armas;Cundinamarca;Madrid;2/05/2025;Femenino;Adultos;25430000;Artículo 239. Hurto Personas;5;1
Arma Blanca / Cortopunzante;Cundinamarca;Madrid;3/05/2025;Masculino;Adultos;25430000;Artículo 239. Hurto Personas;5;1
Sin Empleo De Armas;Cundinamarca;Madrid;28/04/2025;Masculino;Adultos;25430000;Artículo 239. Hurto Personas;4;1
Arma Blanca / Cortopunzante;Cundinamarca;Madrid;29/04/2025;Masculino;Adultos;25430000;Artículo 239. Hurto Personas;4;1
Arma Blanca / Cortopunzante;Cundinamarca;Funza;1/05/2025;Masculino;Adultos;25286000;Artículo 239. Hurto Personas;5;1
Arma Blanca / Cortopunzante;Cundinamarca;Madrid;3/05/2025;Masculino;Adultos;25430000;Artículo 239. Hurto Personas;5;1
Sin Empleo De Armas;Cundinamarca;Mosquera;29/04/2025;Femenino;Adultos;25473000;Artículo 239. Hurto Personas;4;1
